loc,loc_,loc_pair
Shahra-e-Qaideen,1325.0,"('Shahra-e-Qaideen', 1325.0)"
Azam Town,176.0,"('Azam Town', 176.0)"
Saima Luxury Homes,1262.0,"('Saima Luxury Homes', 1262.0)"
G-14,492.0,"('G-14', 492.0)"
NIH Colony,1005.0,"('NIH Colony', 1005.0)"
7th Avenue,2.0,"('7th Avenue', 2.0)"
Shahbaz Town,1314.0,"('Shahbaz Town', 1314.0)"
Kaleem Shaheed Colony No 1,769.0,"('Kaleem Shaheed Colony No 1', 769.0)"
Garden Colony,508.0,"('Garden Colony', 508.0)"
Murree Road,994.0,"('Murree Road', 994.0)"
Dhok Sayedan Road,390.0,"('Dhok Sayedan Road', 390.0)"
Dhoke Khabba,395.0,"('Dhoke Khabba', 395.0)"
Tench Road,1429.0,"('Tench Road', 1429.0)"
Dream Avenue Lahore,411.0,"('Dream Avenue Lahore', 411.0)"
Mehar Fayaz Colony,945.0,"('Mehar Fayaz Colony', 945.0)"
Al-Amin Housing Society,84.0,"('Al-Amin Housing Society', 84.0)"
Defence Road,368.0,"('Defence Road', 368.0)"
Irrigation Cooperative Housing Society,692.0,"('Irrigation Cooperative Housing Society', 692.0)"
Hassan Town,647.0,"('Hassan Town', 647.0)"
Lalazaar Garden,865.0,"('Lalazaar Garden', 865.0)"
Eden Place Housing Scheme,428.0,"('Eden Place Housing Scheme', 428.0)"
Sukh Chayn Gardens,1387.0,"('Sukh Chayn Gardens', 1387.0)"
BOR - Board of Revenue Housing Society,183.0,"('BOR - Board of Revenue Housing Society', 183.0)"
Afzal Park,33.0,"('Afzal Park', 33.0)"
Shadman 2,1301.0,"('Shadman 2', 1301.0)"
Naz Town,1033.0,"('Naz Town', 1033.0)"
Rabia City,1168.0,"('Rabia City', 1168.0)"
Mehmoodabad,949.0,"('Mehmoodabad', 949.0)"
Margalla Town,929.0,"('Margalla Town', 929.0)"
Tarnol,1423.0,"('Tarnol', 1423.0)"
H-15,623.0,"('H-15', 623.0)"
D-13,343.0,"('D-13', 343.0)"
Alipur Farash,114.0,"('Alipur Farash', 114.0)"
Ali Garden,107.0,"('Ali Garden', 107.0)"
Dhok Paracha,388.0,"('Dhok Paracha', 388.0)"
DAV College Road,347.0,"('DAV College Road', 347.0)"
Ahmad Abad,39.0,"('Ahmad Abad', 39.0)"
Askari 8,163.0,"('Askari 8', 163.0)"
Green Town,551.0,"('Green Town', 551.0)"
Lawrence Road,876.0,"('Lawrence Road', 876.0)"
Jewa Town,735.0,"('Jewa Town', 735.0)"
Raj Garh,1180.0,"('Raj Garh', 1180.0)"
Ahbab Colony,37.0,"('Ahbab Colony', 37.0)"
Shahkam Chowk,1319.0,"('Shahkam Chowk', 1319.0)"
Kakezai Housing Society,767.0,"('Kakezai Housing Society', 767.0)"
Walled City,1470.0,"('Walled City', 1470.0)"
Toheed Park,1439.0,"('Toheed Park', 1439.0)"
Asif Colony,147.0,"('Asif Colony', 147.0)"
Outfall Road,1082.0,"('Outfall Road', 1082.0)"
Bagarian,190.0,"('Bagarian', 190.0)"
Hub River Road,660.0,"('Hub River Road', 660.0)"
Suparco Road,1397.0,"('Suparco Road', 1397.0)"
Rufi Rose Petals,1238.0,"('Rufi Rose Petals', 1238.0)"
Punjab Chowrangi,1144.0,"('Punjab Chowrangi', 1144.0)"
Meherban Colony,947.0,"('Meherban Colony', 947.0)"
Zaraj Housing Scheme,1500.0,"('Zaraj Housing Scheme', 1500.0)"
Multi Residencia & Orchards,986.0,"('Multi Residencia & Orchards', 986.0)"
